class:method:signature:line,sbfl_score
org.apache.commons.lang3.SystemUtils:getJavaVersionAsFloat:()F:1137,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:getJavaVersionAsFloat:()F:1136,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:getJavaVersionAsFloat:()F:1133,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:1102,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:896,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:914,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:924,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:934,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:944,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:954,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:964,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:974,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:984,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:994,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:1005,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:1017,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:1027,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:1037,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:1048,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:1059,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:1070,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:1081,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:1092,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:87,0.0018181818181818182
